127.0.0.1 - - [04/Apr/2017:09:29:12 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:29:30 +0200] "GET /TakenSpringBrouwers/ HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:29:30 +0200] "GET /TakenSpringBrouwers/styles/default.css HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:29:33 +0200] "GET /TakenSpringBrouwers/brouwers/alfabet HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:33:17 +0200] "GET /TakenSpringBrouwers/ HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:33:17 +0200] "GET /TakenSpringBrouwers/styles/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:33:17 +0200] "GET /TakenSpringBrouwers/images/favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:33:19 +0200] "GET /TakenSpringBrouwers/brouwers/alfabet HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:33:21 +0200] "GET /TakenSpringBrouwers/alfabet/a HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:33:21 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:34:00 +0200] "GET /TakenSpringBrouwers/brouwers/alfabet HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:34:02 +0200] "GET /TakenSpringBrouwers/alfabet/a HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:34:05 +0200] "GET /TakenSpringBrouwers/ HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:34:06 +0200] "GET /TakenSpringBrouwers/brouwers/alfabet HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:35:04 +0200] "GET /allesVoorDeKeuken/index.htm HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:35:13 +0200] "GET /TakenSpringBrouwers/index.htm HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:35:17 +0200] "GET /TakenSpringBrouwers/ HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:35:19 +0200] "GET /TakenSpringBrouwers/brouwers/alfabet HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:44:32 +0200] "GET /TakenSpringBrouwers/alfabet/A HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:44:36 +0200] "GET /TakenSpringBrouwers/alfabet/A HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:44:55 +0200] "GET /TakenSpringBrouwers/brouwers/ HTTP/1.1" 200 1188
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:44:56 +0200] "GET /TakenSpringBrouwers/ HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:44:58 +0200] "GET /TakenSpringBrouwers/brouwers/alfabet HTTP/1.1" 200 1582
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:45:00 +0200] "GET /TakenSpringBrouwers/brouwers/alfabet/A HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:47:32 +0200] "GET /TakenSpringBrouwers/brouwers/alfabet/A HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:47:34 +0200] "GET /TakenSpringBrouwers/brouwers/alfabet/N HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [04/Apr/2017:09:48:09 +0200] "GET /TakenSpringBrouwers/ HTTP/1.1" 200 700
